"Name(ocultar)";"Futbolista_ID";"GK";"DL";"DC";"DR";"WBL";"WBR";"DM";"ML";"MC";"MR";"AML";"AMC";"AMR";"ST"
"Kevin De Bruyne";"1";"1";"1";"1";"1";"1";"1";"12";"15";"20";"15";"14";"20";"14";"12"
"Kylian Mbappé";"2";"1";"1";"1";"1";"1";"1";"1";"10";"1";"10";"19";"1";"17";"20"
"Robert Lewandowski";"3";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"12";"8";"20"
"Erling Haaland";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Mohamed Salah";"5";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"17";"12";"20";"19"
"Karim Benzema";"6";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"13";"12";"8";"20"
"Harry Kane";"7";"1";"1";"1";"1";"1";"1";"1";"1";"11";"1";"13";"15";"1";"20"
"Thibaut Courtois";"8";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Virgil van Dijk";"9";"1";"1";"20";"1";"1";"1";"12";"1";"1";"1";"1";"1";"1";"10"
"Lionel Messi";"10";"1";"1";"1";"1";"1";"1";"1";"8";"12";"8";"11";"19";"20";"19"
"Luka Modrić";"11";"1";"1";"1";"1";"1";"1";"14";"8";"20";"5";"1";"15";"1";"1"
"Joshua Kimmich";"12";"1";"1";"14";"16";"1";"15";"20";"10";"18";"12";"8";"11";"8";"1"
"Neymar";"13";"1";"1";"1";"1";"1";"1";"1";"18";"1";"12";"20";"18";"14";"15"
"Alisson";"14";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Bernardo Silva";"15";"1";"1";"1";"1";"1";"1";"1";"12";"20";"16";"12";"20";"19";"9"
"Manuel Neuer";"16";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Ederson";"17";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Rodri";"18";"1";"1";"1";"1";"1";"1";"20";"1";"15";"1";"1";"1";"1";"1"
"Vinícius Júnior";"19";"1";"1";"1";"1";"1";"1";"1";"14";"1";"10";"20";"1";"15";"13"
"Marc-André ter Stegen";"20";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Rúben Dias";"21";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Heung-Min Son";"22";"1";"1";"1";"1";"1";"1";"1";"15";"1";"13";"20";"11";"14";"19"
"Sadio Mané";"23";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"17";"19";"18"
"Jan Oblak";"24";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Thomas Müller";"25";"1";"1";"1";"1";"1";"1";"10";"10";"14";"15";"11";"20";"18";"15"
"Federico Valverde";"26";"1";"1";"1";"10";"1";"12";"13";"1";"20";"17";"1";"10";"16";"1"
"Thiago";"27";"1";"1";"1";"1";"1";"1";"20";"10";"19";"10";"10";"16";"10";"1"
"Aymeric Laporte";"28";"1";"13";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Thiago Silva";"29";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Raheem Sterling";"30";"1";"1";"1";"1";"1";"1";"1";"16";"1";"17";"20";"12";"20";"12"
"N'Golo Kanté";"31";"1";"1";"1";"1";"1";"1";"18";"12";"20";"12";"10";"14";"12";"1"
"João Cancelo";"32";"1";"18";"1";"20";"15";"20";"1";"11";"12";"15";"1";"1";"14";"1"
"Kai Havertz";"33";"1";"1";"1";"1";"1";"1";"10";"12";"14";"14";"12";"20";"14";"19"
"Jack Grealish";"34";"1";"1";"1";"1";"1";"1";"1";"18";"14";"16";"20";"20";"16";"12"
