"Futbolista_ID";"Reputación actual(9999)";"Reputación nacional (9999)";"Reputación mundial(9999)"
"1";"9450";"9400";"9400"
"2";"9398";"9398";"9248"
"3";"9300";"9400";"9250"
"4";"9250";"9250";"8750"
"5";"9400";"9445";"8750"
"6";"9250";"8750";"8750"
"7";"9200";"9200";"8750"
"8";"9050";"8750";"8500"
"9";"9150";"8700";"8500"
"10";"9374";"9359";"9267"
"11";"9000";"9265";"9000"
"12";"8900";"8900";"8500"
"13";"9000";"9104";"8750"
"14";"8850";"8650";"8250"
"15";"8800";"8750";"8500"
"16";"8750";"8750";"8500"
"17";"8750";"8500";"8500"
"18";"8750";"8150";"8250"
"19";"8700";"8750";"8000"
"20";"8700";"8250";"7950"
"21";"8700";"8500";"8500"
"22";"8650";"8950";"8250"
"23";"8600";"8800";"8600"
"24";"8600";"8600";"8050"
"25";"8545";"8545";"8495"
"26";"8450";"8000";"7500"
"27";"8450";"7750";"8000"
"28";"8400";"8000";"8250"
"29";"8400";"8250";"7750"
"30";"8400";"8400";"7750"
"31";"8350";"8200";"8000"
"32";"8350";"8500";"8000"
"33";"8350";"7650";"7250"
"34";"8350";"7900";"7500"
"35";"8300";"7700";"7000"
"36";"8300";"8500";"7700"
"37";"8250";"8050";"7250"
"38";"8300";"8500";"7750"
"39";"8244";"8244";"6894"
"40";"8247";"8247";"7997"
"41";"8250";"8200";"8100"
"42";"8250";"8050";"8000"
"43";"8100";"7750";"7400"
"44";"8400";"8200";"7000"
"45";"8200";"8200";"7450"
"46";"8300";"8050";"7250"
"47";"8200";"8500";"7500"
"48";"8195";"8195";"7245"
"49";"8200";"8200";"8000"
"50";"8199";"7749";"7249"
"51";"8195";"8595";"7645"
"52";"8150";"8150";"8000"
"53";"8100";"8000";"7450"
"54";"8100";"7650";"6350"
"55";"8098";"7998";"7848"
"56";"8100";"8400";"7500"
"57";"8150";"8982";"7984"
"58";"8000";"7750";"7250"
"59";"8100";"8100";"7500"
"60";"8100";"7750";"7600"
"61";"8100";"7168";"8047"
"62";"8000";"8150";"7600"
"63";"8100";"8100";"7800"
"64";"8050";"8500";"7600"
"65";"8050";"7250";"6100"
"66";"8050";"8050";"7750"
"67";"8039";"8039";"7989"
"68";"8050";"8000";"7900"
"69";"8050";"8458";"7400"
"70";"8050";"8050";"7000"
"71";"8050";"8050";"7500"
"72";"8049";"7899";"7499"
"73";"8000";"8000";"7800"
"74";"8000";"8000";"7900"
"75";"8000";"8150";"8000"
"76";"7997";"7997";"7747"
"77";"8000";"8500";"7800"
"78";"8000";"8000";"7750"
"79";"8000";"7750";"7000"
"80";"8199";"7749";"6999"
"81";"8000";"8800";"8000"
"82";"7900";"7500";"7000"
"83";"7998";"7998";"7498"
"84";"8000";"8404";"7750"
"85";"8000";"8250";"7000"
"86";"8100";"7500";"7500"
"87";"7996";"7996";"7746"
"88";"8000";"7800";"7250"
"89";"7950";"7950";"6950"
"90";"7950";"7950";"5500"
"91";"7800";"7800";"7200"
"92";"7950";"7900";"7250"
"93";"7850";"7850";"7200"
"94";"7900";"7900";"7200"
"95";"7950";"7950";"7050"
"96";"8000";"8000";"7500"
"97";"8050";"8050";"7000"
"98";"7900";"7900";"6400"
"99";"7900";"7900";"6250"
"100";"8000";"8000";"8000"
"101";"8000";"8912";"7538"
"102";"7750";"7550";"7000"
"103";"7898";"7698";"7248"
"104";"7891";"7891";"7491"
"105";"7850";"6981";"6718"
"106";"7894";"7844";"6244"
"107";"7900";"8250";"6750"
"108";"7900";"8350";"7000"
"109";"7850";"7500";"7250"
"110";"8000";"8000";"6750"
"111";"7900";"7850";"6750"
"112";"7600";"7600";"6700"
"113";"7850";"7850";"7300"
"114";"7850";"7850";"6500"
"115";"7850";"7850";"7500"
"116";"7800";"7250";"6700"
"117";"7800";"7500";"7250"
"118";"7800";"7500";"5750"
"119";"7700";"7600";"7150"
"120";"7800";"7500";"6500"
"121";"7800";"7800";"6900"
"122";"7800";"7800";"7550"
"123";"7800";"7800";"6850"
"124";"7800";"7800";"6750"
"125";"7800";"8200";"7000"
"126";"7800";"7500";"6250"
"127";"7250";"7250";"6050"
"128";"7500";"7750";"7500"
"129";"7750";"7750";"6000"
"130";"7750";"8200";"6250"
"131";"7750";"7650";"7250"
"132";"7750";"7100";"6750"
"133";"7750";"7500";"6150"
"134";"7750";"7750";"6250"
"135";"7850";"8150";"7500"
"136";"7750";"7750";"7150"
"137";"7750";"7750";"7600"
"138";"8098";"8098";"7598"
"139";"7750";"7500";"6750"
"140";"7750";"7750";"6750"
"141";"7800";"7600";"6900"
"142";"7750";"7700";"6750"
"143";"7747";"7497";"6747"
"144";"7749";"8149";"7099"
"145";"7500";"8000";"7050"
"146";"7600";"7800";"7000"
