"Name(ocultar)";"Futbolista_ID";"Rendimiento en partidos importantes";"Lesiones";"Diversidad";"Adaptabilidad";"Ambición";"Razonamiento";"Lealtad";"Resistencia al estres";"Profesionalidad";"Deportividad";"Control emocional"
"Kevin De Bruyne";"1";"15";"7";"14";"13";"17";"13";"14";"11";"18";"16";"13"
"Kylian Mbappé";"2";"16";"7";"14";"15";"20";"8";"14";"16";"16";"12";"13"
"Robert Lewandowski";"3";"15";"2";"8";"15";"20";"15";"10";"16";"18";"10";"11"
"Erling Haaland";"4";"17";"12";"10";"16";"20";"12";"15";"18";"17";"10";"12"
"Mohamed Salah";"5";"16";"4";"7";"16";"19";"8";"13";"16";"18";"16";"17"
"Karim Benzema";"6";"15";"8";"8";"15";"14";"17";"12";"15";"15";"17";"18"
"Harry Kane";"7";"14";"12";"9";"10";"18";"12";"18";"18";"20";"11";"16"
"Thibaut Courtois";"8";"18";"5";"15";"14";"14";"10";"15";"16";"15";"14";"14"
"Virgil van Dijk";"9";"18";"5";"4";"18";"18";"10";"12";"17";"16";"12";"18"
"Lionel Messi";"10";"18";"6";"12";"17";"18";"5";"17";"19";"17";"15";"14"
"Luka Modrić";"11";"16";"11";"16";"10";"15";"5";"17";"17";"20";"19";"17"
"Joshua Kimmich";"12";"17";"6";"19";"14";"20";"8";"16";"16";"20";"12";"10"
"Neymar";"13";"15";"12";"12";"16";"19";"12";"11";"14";"13";"6";"8"
"Alisson";"14";"16";"8";"1";"16";"17";"6";"14";"17";"18";"15";"17"
"Bernardo Silva";"15";"16";"6";"13";"15";"17";"14";"11";"13";"17";"12";"8"
"Manuel Neuer";"16";"19";"8";"5";"8";"16";"12";"18";"20";"18";"12";"18"
"Ederson";"17";"16";"5";"2";"16";"14";"4";"12";"20";"16";"10";"18"
"Rodri";"18";"15";"4";"10";"15";"16";"6";"13";"15";"18";"13";"16"
"Vinícius Júnior";"19";"12";"5";"10";"12";"15";"12";"12";"16";"14";"8";"8"
"Marc-André ter Stegen";"20";"15";"8";"14";"16";"18";"5";"14";"17";"18";"14";"8"
"Rúben Dias";"21";"15";"4";"8";"18";"18";"8";"16";"16";"18";"14";"16"
"Heung-Min Son";"22";"14";"5";"14";"14";"17";"8";"7";"14";"18";"11";"15"
"Sadio Mané";"23";"17";"5";"11";"18";"17";"8";"13";"15";"18";"12";"12"
"Jan Oblak";"24";"15";"5";"16";"14";"19";"7";"13";"16";"10";"15";"14"
"Thomas Müller";"25";"17";"2";"18";"10";"17";"10";"20";"19";"16";"10";"10"
"Federico Valverde";"26";"14";"6";"14";"10";"12";"7";"12";"10";"14";"10";"11"
"Thiago";"27";"14";"12";"11";"18";"17";"12";"11";"14";"16";"10";"12"
"Aymeric Laporte";"28";"15";"7";"8";"13";"16";"6";"15";"12";"16";"13";"14"
"Thiago Silva";"29";"13";"11";"8";"13";"17";"6";"15";"11";"20";"18";"15"
"Raheem Sterling";"30";"13";"2";"14";"18";"16";"12";"8";"11";"17";"10";"14"
"N'Golo Kanté";"31";"20";"8";"10";"18";"13";"1";"17";"15";"20";"15";"15"
"João Cancelo";"32";"13";"9";"14";"12";"14";"11";"10";"12";"15";"12";"16"
"Kai Havertz";"33";"16";"4";"16";"12";"14";"5";"12";"16";"15";"15";"19"
"Jack Grealish";"34";"14";"12";"9";"12";"16";"12";"15";"16";"13";"6";"10"
"Antonio Rüdiger";"35";"12";"14";"13";"15";"17";"15";"9";"13";"15";"9";"11"
"Toni Kroos";"36";"14";"7";"13";"8";"14";"7";"10";"14";"17";"18";"17"
"Luis Díaz";"37";"17";"7";"10";"15";"14";"8";"13";"16";"12";"10";"13"
"Bruno Fernandes";"38";"13";"3";"15";"18";"15";"5";"13";"14";"17";"6";"7"
"Mason Mount";"39";"14";"8";"12";"16";"18";"6";"13";"14";"16";"16";"17"
"Leroy Sané";"40";"14";"6";"12";"11";"16";"13";"10";"12";"11";"9";"7"
"İlkay Gündogan";"41";"15";"11";"14";"13";"17";"6";"7";"14";"16";"16";"14"
"Édouard Mendy";"42";"15";"6";"13";"14";"14";"7";"14";"12";"14";"13";"14"
"Yannick Carrasco";"43";"13";"11";"12";"10";"16";"14";"9";"13";"12";"12";"8"
"Reece James";"44";"15";"5";"13";"8";"17";"4";"12";"16";"19";"15";"12"
"David Alaba";"45";"15";"7";"19";"12";"17";"10";"14";"15";"15";"12";"10"
"Mateo Kovačić";"46";"13";"8";"15";"14";"14";"9";"12";"14";"16";"14";"17"
"Kyle Walker";"47";"13";"7";"14";"10";"15";"7";"14";"7";"13";"14";"15"
"Marco Verratti";"48";"14";"13";"12";"12";"17";"10";"14";"14";"13";"7";"8"
"Leon Goretzka";"49";"14";"14";"18";"12";"18";"10";"10";"16";"18";"15";"8"
