"Futbolista_ID";"Altura(cm)";"Peso(kg)";"Pierna Izquierda";"Pierna derecha";"Raza"
"1";"181";"68";"16";"20";"Northern_European"
"2";"178";"73";"10";"20";"African_Caribbean"
"3";"185";"81";"13";"20";"Northern_European"
"4";"195";"88";"20";"11";"Northern_European"
"5";"175";"72";"20";"8";"North_African__Middle_Eastern"
"6";"185";"82";"17";"20";"North_African__Middle_Eastern"
"7";"188";"86";"19";"20";"Northern_European"
"8";"199";"96";"20";"9";"Northern_European"
"9";"193";"92";"9";"20";"African_Caribbean"
"10";"169";"67";"20";"12";"Mediterranean_Hispanic"
"11";"172";"67";"13";"20";"Northern_European"
"12";"177";"75";"12";"20";"Northern_European"
"13";"175";"68";"14";"20";"Mixed_Race"
"14";"191";"91";"9";"20";"Northern_European"
"15";"173";"64";"20";"8";"Mediterranean_Hispanic"
"16";"193";"93";"12";"20";"Northern_European"
"17";"188";"86";"20";"10";"Mediterranean_Hispanic"
"18";"191";"75";"13";"20";"Mediterranean_Hispanic"
"19";"177";"62";"12";"20";"Mixed_Race"
"20";"187";"85";"16";"20";"Northern_European"
"21";"186";"83";"12";"20";"Mediterranean_Hispanic"
"22";"183";"77";"19";"20";"Asian"
"23";"174";"69";"14";"20";"African_Caribbean"
"24";"189";"84";"8";"20";"Northern_European"
"25";"185";"76";"13";"20";"Northern_European"
"26";"181";"74";"12";"20";"Mediterranean_Hispanic"
"27";"174";"70";"10";"20";"Mixed_Race"
"28";"191";"85";"20";"10";"Mediterranean_Hispanic"
"29";"183";"79";"8";"20";"Mixed_Race"
"30";"170";"69";"8";"20";"African_Caribbean"
"31";"168";"72";"8";"20";"African_Caribbean"
"32";"182";"74";"11";"20";"Mediterranean_Hispanic"
"33";"186";"77";"20";"10";"Northern_European"
"34";"175";"82";"15";"20";"Northern_European"
"35";"190";"85";"10";"20";"African_Caribbean"
"36";"183";"76";"15";"20";"Northern_European"
"37";"180";"70";"12";"20";"Mixed_Race"
"38";"179";"69";"13";"20";"Mediterranean_Hispanic"
"39";"178";"70";"12";"20";"Northern_European"
"40";"183";"80";"20";"9";"Mixed_Race"
"41";"180";"80";"13";"20";"North_African__Middle_Eastern"
"42";"194";"89";"10";"20";"African_Caribbean"
"43";"180";"71";"14";"20";"Mediterranean_Hispanic"
"44";"175";"90";"10";"20";"African_Caribbean"
"45";"180";"78";"20";"10";"South_East_Asian"
"46";"178";"78";"11";"20";"Northern_European"
"47";"178";"83";"10";"20";"Mixed_Race"
"48";"165";"60";"10";"20";"Mediterranean_Hispanic"
"49";"189";"82";"10";"20";"Northern_European"
"50";"180";"65";"9";"20";"Mediterranean_Hispanic"
"51";"183";"75";"10";"20";"Mixed_Race"
"52";"171";"64";"20";"9";"Northern_European"
"53";"181";"69";"12";"20";"Northern_European"
"54";"188";"81";"14";"20";"African_Caribbean"
"55";"175";"73";"13";"20";"African_Caribbean"
"56";"175";"71";"20";"14";"Mediterranean_Hispanic"
"57";"191";"93";"20";"12";"African_Caribbean"
"58";"178";"70";"10";"20";"African_Caribbean"
"59";"185";"80";"11";"20";"Northern_European"
"60";"179";"75";"12";"20";"African_Caribbean"
"61";"191";"82";"17";"20";"Northern_European"
"62";"178";"67";"20";"19";"African_Caribbean"
"63";"196";"90";"7";"20";"Mediterranean_Hispanic"
"64";"185";"84";"13";"20";"Mixed_Race"
"65";"191";"89";"9";"20";"African_Caribbean"
"66";"188";"82";"9";"20";"Northern_European"
"67";"184";"82";"13";"20";"Mediterranean_Hispanic"
"68";"174";"79";"12";"20";"Mediterranean_Hispanic"
"69";"182";"76";"15";"20";"Northern_European"
"70";"178";"0";"20";"11";"African_Caribbean"
"71";"188";"72";"12";"20";"Northern_European"
"72";"188";"78";"7";"20";"Mixed_Race"
"73";"172";"68";"9";"20";"Mediterranean_Hispanic"
"74";"181";"73";"10";"20";"North_African__Middle_Eastern"
"75";"191";"81";"8";"20";"North_African__Middle_Eastern"
"76";"179";"67";"20";"10";"African_Caribbean"
"77";"180";"75";"20";"8";"Mediterranean_Hispanic"
"78";"185";"85";"14";"20";"Mediterranean_Hispanic"
"79";"187";"89";"9";"20";"African_Caribbean"
"80";"180";"70";"12";"20";"Northern_European"
"81";"191";"84";"13";"20";"African_Caribbean"
"82";"188";"91";"8";"20";"Mixed_Race"
"83";"176";"77";"16";"20";"Mixed_Race"
"84";"177";"79";"20";"10";"Mediterranean_Hispanic"
"85";"186";"79";"8";"20";"African_Caribbean"
"86";"185";"77";"20";"10";"African_Caribbean"
"87";"178";"68";"20";"10";"Northern_European"
"88";"181";"68";"11";"20";"Northern_European"
"89";"174";"65";"10";"20";"Mediterranean_Hispanic"
"90";"187";"81";"10";"20";"African_Caribbean"
"91";"178";"74";"15";"20";"Mediterranean_Hispanic"
"92";"184";"81";"20";"8";"Mediterranean_Hispanic"
"93";"172";"66";"20";"7";"Mediterranean_Hispanic"
"94";"185";"77";"12";"20";"Mediterranean_Hispanic"
"95";"183";"77";"20";"10";"African_Caribbean"
"96";"180";"71";"14";"20";"Northern_European"
"97";"178";"64";"20";"4";"Northern_European"
"98";"180";"77";"20";"10";"Mediterranean_Hispanic"
"99";"182";"78";"8";"20";"African_Caribbean"
"100";"189";"89";"11";"20";"Northern_European"
"101";"187";"84";"15";"20";"Mediterranean_Hispanic"
"102";"183";"81";"12";"20";"Mediterranean_Hispanic"
"103";"176";"78";"12";"20";"African_Caribbean"
"104";"185";"80";"8";"20";"Mediterranean_Hispanic"
"105";"175";"73";"12";"20";"African_Caribbean"
"106";"178";"77";"20";"12";"Northern_European"
"107";"178";"73";"14";"20";"Mediterranean_Hispanic"
"108";"188";"79";"10";"20";"Mixed_Race"
"109";"185";"78";"9";"20";"African_Caribbean"
"110";"181";"76";"20";"11";"Northern_European"
"111";"195";"90";"8";"20";"Mixed_Race"
"112";"180";"64";"20";"8";"Mediterranean_Hispanic"
"113";"178";"73";"14";"20";"Mediterranean_Hispanic"
"114";"191";"80";"20";"9";"Mediterranean_Hispanic"
"115";"189";"76";"12";"20";"Mediterranean_Hispanic"
"116";"183";"89";"9";"20";"African_Caribbean"
"117";"180";"73";"20";"14";"African_Caribbean"
"118";"179";"68";"10";"20";"Mediterranean_Hispanic"
"119";"172";"67";"12";"20";"North_African__Middle_Eastern"
"120";"190";"96";"7";"20";"African_Caribbean"
"121";"181";"79";"12";"20";"Mediterranean_Hispanic"
"122";"173";"76";"16";"20";"Northern_European"
"123";"175";"70";"15";"20";"Mediterranean_Hispanic"
"124";"175";"61";"20";"12";"Northern_European"
"125";"186";"80";"16";"20";"Northern_European"
"126";"187";"91";"15";"20";"Mixed_Race"
"127";"185";"80";"12";"20";"Mediterranean_Hispanic"
"128";"167";"68";"13";"20";"Mediterranean_Hispanic"
"129";"182";"74";"14";"20";"Mediterranean_Hispanic"
"130";"188";"78";"10";"20";"Northern_European"
"131";"184";"79";"20";"7";"Mediterranean_Hispanic"
"132";"196";"92";"8";"20";"Mediterranean_Hispanic"
"133";"172";"62";"11";"20";"Mediterranean_Hispanic"
"134";"180";"76";"10";"20";"Mediterranean_Hispanic"
"135";"181";"76";"8";"20";"Mixed_Race"
"136";"184";"73";"10";"20";"Mediterranean_Hispanic"
"137";"194";"85";"10";"20";"Mediterranean_Hispanic"
"138";"183";"70";"12";"20";"African_Caribbean"
"139";"186";"77";"14";"20";"Mediterranean_Hispanic"
