"Name(ocultar)";"Futbolista_ID";"Alcance aéreo";"Liderazgo en el área";"Comunicación";"Exentricidad";"Manejo de balón";"Despeje de balón";"1 vs 1";"Reflejos";"Salir a por el balón ";"Puños de portero";"Lanzamientos de portero"
"Kevin De Bruyne";"1";"1";"3";"1";"3";"3";"3";"3";"3";"3";"2";"1"
"Kylian Mbappé";"2";"2";"2";"2";"1";"1";"2";"1";"3";"2";"1";"2"
"Robert Lewandowski";"3";"2";"2";"3";"2";"3";"2";"3";"3";"2";"1";"1"
"Erling Haaland";"4";"2";"4";"1";"3";"2";"2";"2";"2";"3";"3";"2"
"Mohamed Salah";"5";"3";"2";"2";"1";"2";"1";"3";"2";"3";"3";"2"
"Karim Benzema";"6";"3";"1";"2";"3";"3";"1";"2";"4";"1";"2";"2"
"Harry Kane";"7";"1";"1";"3";"1";"3";"2";"1";"2";"2";"3";"1"
"Thibaut Courtois";"8";"20";"16";"14";"5";"16";"16";"18";"19";"12";"6";"15"
"Virgil van Dijk";"9";"3";"2";"1";"3";"3";"2";"3";"1";"3";"2";"3"
"Lionel Messi";"10";"2";"2";"3";"2";"2";"2";"2";"1";"3";"1";"3"
"Luka Modrić";"11";"2";"2";"1";"3";"3";"1";"1";"2";"1";"2";"1"
"Joshua Kimmich";"12";"2";"3";"3";"2";"3";"3";"1";"1";"3";"2";"2"
"Neymar";"13";"1";"1";"1";"1";"2";"2";"3";"1";"1";"3";"2"
"Alisson";"14";"15";"13";"14";"12";"16";"15";"18";"17";"16";"14";"14"
"Bernardo Silva";"15";"2";"2";"1";"3";"2";"1";"1";"1";"2";"2";"2"
"Manuel Neuer";"16";"15";"16";"14";"18";"14";"18";"16";"16";"20";"8";"18"
"Ederson";"17";"13";"16";"13";"15";"16";"20";"13";"14";"17";"6";"17"
"Rodri";"18";"3";"1";"4";"2";"3";"2";"2";"2";"1";"1";"1"
"Vinícius Júnior";"19";"2";"1";"4";"2";"1";"1";"3";"4";"3";"2";"3"
"Marc-André ter Stegen";"20";"13";"15";"15";"12";"14";"19";"14";"18";"18";"10";"17"
"Rúben Dias";"21";"1";"3";"2";"3";"1";"1";"3";"1";"3";"2";"2"
"Heung-Min Son";"22";"2";"1";"1";"3";"3";"3";"1";"1";"2";"2";"2"
"Sadio Mané";"23";"1";"3";"1";"3";"1";"3";"1";"1";"2";"2";"3"
"Jan Oblak";"24";"15";"15";"15";"4";"18";"16";"16";"19";"15";"9";"14"
"Thomas Müller";"25";"2";"3";"2";"2";"1";"1";"1";"1";"3";"1";"1"
"Federico Valverde";"26";"2";"3";"3";"1";"3";"2";"3";"3";"2";"3";"2"
"Thiago";"27";"3";"2";"4";"1";"1";"3";"3";"3";"1";"3";"3"
"Aymeric Laporte";"28";"2";"2";"2";"3";"2";"1";"3";"2";"1";"1";"3"
"Thiago Silva";"29";"4";"2";"2";"3";"1";"3";"2";"2";"1";"1";"2"
"Raheem Sterling";"30";"2";"2";"3";"3";"2";"1";"3";"2";"1";"2";"3"
"N'Golo Kanté";"31";"1";"3";"2";"2";"1";"3";"3";"1";"2";"3";"2"
"João Cancelo";"32";"4";"1";"1";"1";"4";"3";"3";"3";"3";"2";"1"
"Kai Havertz";"33";"2";"2";"3";"1";"3";"3";"3";"2";"3";"2";"3"
"Jack Grealish";"34";"3";"1";"1";"1";"3";"2";"2";"4";"3";"1";"1"
"Antonio Rüdiger";"35";"3";"3";"1";"2";"1";"4";"1";"3";"3";"3";"1"
"Toni Kroos";"36";"1";"3";"2";"3";"1";"1";"3";"1";"1";"1";"3"
"Luis Díaz";"37";"1";"2";"1";"1";"3";"3";"4";"1";"1";"3";"3"
"Bruno Fernandes";"38";"1";"1";"2";"3";"3";"3";"1";"1";"3";"1";"1"
"Mason Mount";"39";"1";"3";"2";"2";"1";"3";"4";"3";"2";"3";"3"
"Leroy Sané";"40";"2";"2";"2";"4";"3";"2";"1";"1";"2";"4";"3"
"İlkay Gündogan";"41";"1";"2";"3";"3";"2";"2";"1";"1";"1";"3";"3"
"Édouard Mendy";"42";"18";"16";"13";"14";"16";"13";"14";"16";"12";"8";"12"
"Yannick Carrasco";"43";"2";"2";"1";"4";"3";"1";"4";"1";"3";"4";"2"
"Reece James";"44";"1";"3";"1";"1";"2";"2";"2";"1";"3";"4";"2"
"David Alaba";"45";"2";"3";"1";"2";"1";"1";"4";"3";"3";"2";"3"
"Mateo Kovačić";"46";"3";"2";"2";"1";"2";"1";"2";"4";"3";"2";"2"
"Kyle Walker";"47";"2";"2";"4";"1";"3";"3";"1";"1";"2";"2";"1"
"Marco Verratti";"48";"3";"1";"2";"2";"2";"4";"3";"4";"3";"3";"2"
"Leon Goretzka";"49";"2";"1";"2";"3";"2";"3";"2";"3";"2";"1";"1"
"Jorginho";"50";"1";"3";"2";"1";"1";"2";"2";"3";"1";"2";"2"
"Marquinhos";"51";"1";"1";"3";"1";"3";"3";"3";"1";"1";"1";"3"
"Phil Foden";"52";"2";"3";"2";"2";"1";"2";"1";"3";"2";"1";"3"
"Frenkie de Jong";"53";"2";"2";"1";"1";"2";"2";"1";"3";"3";"2";"4"
"Rafael Leão";"54";"2";"1";"1";"1";"2";"4";"2";"2";"3";"2";"1"
"Gabriel Jesus";"55";"1";"1";"1";"2";"2";"3";"2";"1";"4";"1";"4"
"Antoine Griezmann";"56";"3";"1";"1";"3";"2";"1";"3";"1";"1";"1";"4"
"Romelu Lukaku";"57";"3";"3";"3";"1";"4";"1";"1";"1";"2";"2";"4"
"Jules Koundé";"58";"3";"1";"1";"1";"2";"1";"1";"1";"3";"2";"1"
"Declan Rice";"59";"2";"2";"3";"2";"1";"2";"1";"1";"3";"2";"1"
"Kingsley Coman";"60";"1";"1";"2";"3";"4";"1";"3";"1";"3";"2";"2"
"Sergej Milinković-Savić";"61";"2";"2";"1";"3";"2";"2";"1";"2";"2";"1";"3"
"Ousmane Dembélé";"62";"1";"1";"4";"4";"1";"1";"3";"1";"3";"2";"3"
"Gianluigi Donnarumma";"63";"16";"14";"15";"9";"15";"13";"16";"18";"11";"14";"12"
"Casemiro";"64";"2";"1";"1";"2";"1";"2";"1";"1";"2";"2";"1"
"Mike Maignan";"65";"13";"15";"16";"13";"15";"16";"14";"17";"7";"9";"14"
"Milan Škriniar";"66";"1";"3";"1";"2";"3";"3";"2";"4";"4";"1";"2"
"Sergio Ramos";"67";"3";"2";"1";"1";"3";"2";"2";"2";"1";"3";"2"
"Lautaro Martínez";"68";"2";"3";"3";"1";"1";"3";"3";"2";"3";"3";"2"
"Christian Eriksen";"69";"3";"3";"3";"3";"3";"1";"3";"1";"2";"4";"1"
"Bukayo Saka";"70";"1";"1";"1";"3";"1";"3";"3";"3";"1";"2";"3"
"John Stones";"71";"1";"3";"2";"1";"2";"2";"1";"2";"2";"1";"3"
"Fabinho";"72";"2";"2";"2";"3";"2";"2";"2";"1";"2";"2";"3"
"Nicolò Barella";"73";"2";"3";"3";"4";"2";"3";"2";"1";"3";"2";"2"
"Achraf Hakimi";"74";"3";"2";"2";"3";"2";"3";"3";"1";"1";"1";"2"
"Raphaël Varane";"75";"1";"3";"2";"3";"1";"2";"3";"3";"2";"3";"3"
"Riyad Mahrez";"76";"1";"1";"1";"1";"2";"1";"3";"3";"3";"3";"3"
"Ángel Di María";"77";"2";"2";"1";"2";"3";"3";"4";"3";"3";"2";"1"
"Ciro Immobile";"78";"2";"3";"3";"3";"4";"1";"3";"4";"2";"2";"2"
"Kalidou Koulibaly";"79";"3";"1";"1";"2";"4";"4";"1";"3";"2";"3";"1"
"Trent Alexander-Arnold";"80";"2";"2";"3";"1";"1";"1";"2";"1";"3";"2";"2"
"Paul Pogba";"81";"3";"4";"2";"3";"3";"3";"2";"4";"3";"3";"1"
"Ronald Araujo";"82";"3";"3";"2";"4";"1";"1";"2";"3";"2";"2";"3"
"Serge Gnabry";"83";"1";"1";"3";"2";"2";"2";"1";"2";"3";"3";"3"
"Paulo Dybala";"84";"1";"2";"3";"3";"3";"3";"3";"2";"3";"1";"3"
"Éder Militão";"85";"1";"1";"2";"3";"3";"3";"3";"2";"1";"4";"3"
"Alphonso Davies";"86";"1";"2";"1";"3";"1";"2";"3";"1";"2";"1";"1"
"Martin Ødegaard";"87";"1";"1";"3";"2";"1";"3";"1";"1";"3";"1";"2"
"Marcelo Brozović";"88";"1";"2";"2";"2";"2";"2";"3";"1";"2";"2";"2"
"Pedri";"89";"1";"1";"2";"1";"2";"3";"2";"2";"4";"2";"3"
"Aurélien Tchouameni";"90";"4";"2";"3";"3";"1";"2";"2";"3";"1";"3";"1"
"João Félix";"91";"2";"1";"2";"1";"1";"3";"1";"2";"1";"4";"2"
"Theo Hernández";"92";"1";"2";"1";"1";"1";"1";"3";"2";"1";"1";"3"
"José Gayà";"93";"2";"2";"1";"1";"2";"4";"2";"3";"3";"2";"3"
"José Giménez";"94";"1";"3";"4";"1";"3";"2";"1";"1";"4";"1";"2"
"Presnel Kimpembe";"95";"3";"1";"2";"3";"1";"1";"2";"3";"1";"1";"1"
"Marco Reus";"96";"1";"2";"1";"2";"2";"1";"2";"1";"3";"3";"2"
"Andrew Robertson";"97";"2";"1";"2";"2";"1";"1";"3";"1";"3";"2";"1"
"Mikel Oyarzábal";"98";"3";"2";"2";"1";"2";"2";"2";"1";"4";"1";"3"
"Yves Bissouma";"99";"2";"2";"1";"1";"2";"3";"2";"2";"4";"2";"3"
"Matthijs de Ligt";"100";"1";"2";"3";"1";"2";"1";"1";"1";"1";"2";"1"
"Cristiano Ronaldo";"101";"3";"3";"1";"1";"2";"2";"1";"3";"4";"2";"3"
"Nicolás Otamendi";"102";"2";"3";"1";"3";"2";"3";"1";"2";"2";"1";"2"
"Memphis Depay";"103";"1";"2";"2";"1";"2";"4";"2";"2";"1";"2";"2"
"Keylor Navas";"104";"10";"15";"14";"4";"12";"14";"16";"17";"12";"16";"15"
"Christopher Nkunku";"105";"3";"3";"2";"3";"2";"1";"2";"1";"2";"2";"2"
"Ben Chilwell";"106";"4";"2";"2";"3";"1";"1";"1";"2";"2";"2";"2"
"Diogo Jota";"107";"2";"2";"3";"3";"1";"3";"3";"3";"1";"3";"1"
"Pepe";"108";"3";"2";"3";"1";"1";"1";"2";"1";"4";"3";"2"
"Victor Osimhen";"109";"2";"1";"1";"2";"2";"2";"1";"3";"2";"1";"3"
"Dušan Tadić";"110";"1";"3";"3";"3";"1";"2";"2";"1";"2";"1";"1"
"Joël Matip";"111";"1";"2";"3";"1";"1";"3";"2";"2";"2";"2";"2"
"Sergio Canales";"112";"2";"3";"3";"2";"1";"1";"3";"1";"2";"3";"3"
"Koke";"113";"3";"3";"2";"3";"2";"1";"1";"2";"1";"1";"3"
"Pau Torres";"114";"1";"1";"1";"2";"3";"2";"2";"2";"1";"2";"2"
"Sergio Busquets";"115";"1";"1";"3";"3";"1";"2";"3";"1";"3";"2";"3"
"Franck Kessié";"116";"1";"2";"3";"1";"2";"3";"2";"2";"1";"3";"4"
"Ferland Mendy";"117";"1";"1";"3";"3";"1";"1";"1";"2";"1";"3";"1"
"Gonçalo Guedes";"118";"3";"2";"3";"3";"1";"1";"2";"3";"2";"2";"1"
"Ángel Correa";"119";"3";"1";"1";"1";"3";"2";"2";"1";"1";"1";"1"
"Kurt Zouma";"120";"2";"3";"3";"2";"1";"2";"2";"1";"1";"1";"2"
"Sandro Tonali";"121";"2";"1";"3";"2";"2";"2";"2";"2";"2";"1";"1"
"Eden Hazard";"122";"3";"3";"1";"3";"3";"2";"3";"1";"1";"2";"3"
"Federico Chiesa";"123";"2";"3";"1";"4";"3";"1";"2";"1";"2";"3";"2"
"Oleksandr Zinchenko";"124";"3";"3";"2";"3";"3";"3";"4";"3";"2";"1";"2"
"Ivan Perišić";"125";"2";"3";"1";"3";"2";"1";"1";"1";"1";"3";"3"
"Manuel Akanji";"126";"1";"3";"1";"3";"2";"1";"3";"3";"2";"3";"3"
"Guido Rodríguez";"127";"1";"2";"2";"2";"1";"2";"3";"4";"3";"2";"1"
"Alejandro Gómez";"128";"3";"1";"3";"1";"3";"1";"3";"3";"3";"1";"1"
"Dani Parejo";"129";"4";"2";"1";"3";"1";"1";"1";"2";"3";"1";"1"
"Andreas Christensen";"130";"1";"1";"2";"4";"2";"1";"1";"2";"2";"2";"3"
"Lucas Hernández";"131";"1";"1";"3";"3";"2";"3";"1";"3";"3";"3";"3"
"Sebastián Coates";"132";"1";"1";"1";"4";"2";"1";"4";"3";"3";"2";"3"
"Rafa";"133";"1";"3";"2";"2";"2";"1";"2";"2";"2";"1";"3"
"Carlos Soler";"134";"2";"3";"3";"1";"2";"3";"2";"1";"3";"3";"2"
"Roberto Firmino";"135";"3";"2";"1";"2";"3";"2";"1";"1";"2";"3";"1"
"Marcos Llorente";"136";"3";"3";"1";"3";"2";"3";"1";"1";"3";"3";"1"
"Gerard Piqué";"137";"1";"1";"1";"1";"3";"1";"1";"1";"2";"2";"1"
"Jamal Musiala";"138";"2";"1";"1";"1";"2";"2";"2";"3";"3";"1";"2"
"Lorenzo Pellegrini";"139";"1";"1";"1";"1";"3";"1";"1";"1";"3";"1";"1"
"Naby Keïta";"140";"2";"3";"3";"3";"3";"3";"2";"2";"1";"2";"3"
"Fabián";"141";"3";"3";"3";"3";"2";"2";"1";"2";"2";"1";"2"
"Piotr Zieliński";"142";"2";"3";"2";"3";"3";"1";"2";"3";"1";"2";"2"
"Jadon Sancho";"143";"1";"2";"2";"3";"2";"3";"2";"1";"2";"3";"4"
"Raphinha";"144";"3";"1";"2";"1";"3";"3";"3";"4";"1";"2";"2"
"Jude Bellingham";"145";"3";"1";"4";"3";"2";"1";"1";"1";"3";"2";"1"
"Timo Werner";"146";"1";"3";"3";"3";"2";"2";"1";"2";"3";"1";"2"
"Unai Simón";"147";"16";"15";"15";"13";"14";"13";"15";"16";"13";"9";"15"
"Pablo Sarabia";"148";"2";"1";"1";"1";"2";"1";"2";"2";"3";"4";"1"
"Christian Pulisic";"149";"2";"1";"2";"2";"2";"2";"2";"2";"3";"2";"2"
"Rodrigo De Paul";"150";"1";"3";"3";"3";"2";"1";"3";"3";"3";"2";"1"
"Niklas Süle";"151";"2";"2";"1";"2";"2";"2";"2";"3";"1";"1";"2"
"Dayot Upamecano";"152";"1";"4";"3";"3";"2";"3";"2";"3";"1";"1";"2"
"Gerard Moreno";"153";"3";"4";"1";"1";"4";"4";"2";"1";"1";"1";"4"
"Ferran Torres";"154";"1";"4";"3";"2";"1";"1";"1";"3";"2";"1";"2"
"Iago Aspas";"155";"2";"2";"1";"2";"2";"1";"2";"3";"2";"1";"1"
"Jordan Henderson";"156";"1";"1";"1";"1";"2";"2";"4";"2";"2";"1";"3"
"Jordi Alba";"157";"2";"3";"2";"1";"3";"2";"2";"2";"1";"1";"2"
"Dejan Kulusevski";"158";"3";"1";"3";"2";"3";"2";"2";"3";"1";"3";"1"
"Nabil Fekir";"159";"2";"1";"2";"2";"1";"3";"3";"3";"4";"3";"2"
"Denzel Dumfries";"160";"1";"1";"3";"2";"1";"2";"2";"3";"2";"1";"4"
"Jesús Corona";"161";"3";"3";"1";"4";"3";"3";"2";"2";"3";"2";"3"
"Kim Min-Jae";"162";"2";"3";"4";"1";"1";"3";"1";"3";"1";"1";"4"
"Nathan Aké";"163";"4";"1";"1";"1";"1";"3";"3";"1";"4";"3";"3"
"Eric Dier";"164";"1";"3";"3";"1";"2";"3";"3";"1";"2";"1";"1"
"Álvaro Morata";"165";"2";"3";"1";"2";"1";"2";"3";"4";"1";"3";"3"
"Mehdi Taremi";"166";"2";"3";"3";"1";"3";"2";"1";"2";"3";"3";"2"
"Jamie Vardy";"167";"1";"3";"3";"3";"2";"1";"2";"2";"3";"2";"3"
"Cristian Romero";"168";"4";"2";"1";"4";"2";"3";"3";"3";"2";"3";"2"
"Philippe Coutinho";"169";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"4"
"Iñaki Williams";"170";"4";"1";"1";"1";"2";"3";"3";"1";"4";"1";"2"
"Hakan Çalhanoğlu";"171";"2";"1";"2";"2";"3";"1";"3";"2";"1";"1";"4"
"James Maddison";"172";"1";"1";"3";"3";"1";"2";"2";"1";"2";"1";"2"
"Tammy Abraham";"173";"1";"3";"2";"2";"3";"3";"2";"3";"3";"3";"1"
"Pedro Gonçalves";"174";"2";"4";"3";"3";"3";"3";"1";"3";"2";"2";"1"
"Wojciech Szczęsny";"175";"16";"14";"14";"13";"18";"16";"16";"17";"16";"7";"13"
"Georginio Wijnaldum";"176";"3";"1";"1";"2";"1";"2";"1";"4";"2";"3";"2"
"Fikayo Tomori";"177";"2";"2";"3";"1";"3";"1";"1";"2";"1";"4";"1"
"Luis Alberto";"178";"1";"1";"4";"2";"3";"3";"3";"3";"2";"1";"3"
"Rúben Neves";"179";"2";"2";"3";"3";"2";"1";"1";"2";"2";"3";"1"
"Dušan Vlahović";"180";"3";"3";"1";"1";"1";"2";"3";"2";"2";"3";"1"
"Yann Sommer";"181";"12";"13";"14";"14";"14";"13";"16";"18";"18";"8";"12"
"Mikel Merino";"182";"3";"2";"2";"3";"1";"1";"1";"2";"1";"3";"2"
"Khvicha Kvaratskhelia";"183";"3";"1";"3";"2";"2";"3";"3";"2";"1";"3";"2"
"André-Franck Zambo Anguissa";"184";"2";"1";"4";"1";"4";"1";"1";"2";"3";"1";"2"
