"Name(ocultar)";"Futbolista_ID";"Corners";"Pases precisos";"Regate";"Finalizar";"Primer toque";"Lanzamiento de faltas";"Cabezazo";"Disparos a distancia";"Pases largos";"Marcaje";"Pases";"Lanzamiento de penalti";"Choque";"Tecnica";"Agresividad";"Anticipación";"Sacrificio";"Serenidad";"Concentración";"Visión";"Decisión";"Determinación";"Creatividad";"Liderazgo";"Juego sin balón";"Posición secundaria";"Trabajo en equipo";"Intensidad de trabajo";"Aceleración";"Agilidad";"Balance";"Salto vertical";"Estado físico";"Velocidad maxima en carrera";"Cardio";"Fuerza";"Estabilidad";"Faltas"
"Kevin De Bruyne";"1";"14";"19";"15";"16";"16";"17";"6";"17";"7";"9";"18";"16";"9";"18";"12";"14";"13";"15";"15";"20";"18";"17";"16";"13";"14";"11";"14";"15";"15";"13";"14";"10";"16";"14";"17";"13";"15";"6"
"Kylian Mbappé";"2";"13";"13";"18";"17";"18";"12";"7";"13";"4";"4";"15";"18";"4";"17";"6";"17";"12";"18";"14";"15";"15";"15";"18";"13";"18";"3";"10";"10";"20";"16";"15";"8";"15";"20";"14";"11";"15";"7"
"Robert Lewandowski";"3";"3";"8";"13";"19";"18";"15";"17";"12";"3";"7";"13";"20";"7";"16";"15";"19";"16";"17";"17";"13";"17";"20";"14";"15";"19";"7";"12";"12";"14";"13";"19";"15";"20";"14";"18";"16";"18";"8"
"Erling Haaland";"4";"7";"10";"14";"18";"16";"13";"15";"13";"5";"6";"13";"17";"7";"15";"13";"18";"15";"18";"15";"14";"13";"20";"16";"13";"18";"7";"13";"13";"17";"16";"17";"18";"19";"19";"14";"17";"17";"9"
"Mohamed Salah";"5";"12";"14";"17";"17";"17";"12";"10";"13";"6";"7";"15";"17";"7";"17";"11";"16";"11";"15";"15";"17";"15";"18";"15";"11";"18";"9";"15";"16";"18";"16";"18";"8";"17";"18";"15";"15";"15";"6"
"Karim Benzema";"6";"10";"13";"16";"17";"20";"12";"15";"12";"7";"7";"18";"15";"9";"20";"7";"14";"10";"18";"14";"18";"17";"18";"17";"11";"15";"12";"16";"14";"15";"14";"15";"11";"11";"15";"14";"14";"14";"4"
"Harry Kane";"7";"9";"15";"14";"19";"15";"10";"15";"15";"6";"10";"18";"20";"11";"16";"11";"15";"14";"18";"15";"18";"18";"19";"12";"15";"16";"12";"18";"16";"12";"12";"14";"13";"16";"14";"16";"15";"17";"8"
"Thibaut Courtois";"8";"6";"1";"10";"2";"10";"9";"10";"1";"2";"3";"13";"5";"3";"12";"8";"15";"15";"12";"16";"9";"16";"16";"14";"13";"3";"16";"14";"11";"12";"13";"14";"18";"12";"11";"8";"14";"16";"5"
"Virgil van Dijk";"9";"3";"5";"13";"8";"17";"12";"18";"7";"8";"17";"16";"7";"17";"16";"17";"17";"15";"17";"16";"14";"17";"16";"12";"17";"8";"17";"14";"12";"15";"12";"15";"17";"17";"16";"14";"17";"18";"12"
"Lionel Messi";"10";"15";"15";"20";"17";"19";"18";"10";"16";"4";"4";"19";"17";"7";"20";"7";"17";"10";"16";"11";"20";"18";"20";"20";"14";"13";"5";"12";"7";"15";"15";"18";"6";"14";"15";"12";"9";"16";"9"
"Luka Modrić";"11";"16";"16";"17";"9";"20";"13";"8";"14";"7";"8";"19";"14";"11";"19";"12";"17";"14";"18";"18";"19";"18";"17";"13";"14";"15";"15";"17";"16";"12";"14";"13";"7";"13";"13";"13";"8";"15";"12"
"Joshua Kimmich";"12";"15";"17";"12";"11";"16";"15";"11";"14";"12";"13";"18";"11";"12";"16";"15";"15";"15";"17";"13";"18";"16";"20";"13";"16";"12";"13";"17";"20";"12";"12";"13";"10";"20";"12";"20";"11";"18";"11"
"Neymar";"13";"16";"16";"20";"16";"18";"17";"8";"15";"4";"4";"17";"20";"5";"20";"10";"15";"14";"17";"10";"17";"14";"16";"20";"14";"16";"4";"8";"9";"15";"16";"14";"6";"14";"15";"13";"11";"12";"12"
"Alisson";"14";"3";"3";"10";"3";"15";"2";"7";"3";"3";"2";"14";"5";"2";"14";"12";"17";"14";"17";"15";"11";"16";"19";"13";"11";"11";"18";"11";"17";"13";"16";"16";"13";"17";"13";"12";"15";"17";"5"
"Bernardo Silva";"15";"14";"15";"17";"15";"17";"13";"10";"13";"2";"12";"17";"13";"8";"18";"13";"16";"15";"16";"15";"17";"15";"16";"17";"12";"17";"13";"16";"20";"15";"19";"16";"7";"17";"14";"17";"9";"16";"10"
"Manuel Neuer";"16";"2";"6";"12";"7";"12";"8";"11";"7";"12";"9";"15";"13";"11";"12";"13";"16";"15";"20";"15";"15";"15";"18";"12";"18";"13";"16";"13";"16";"11";"13";"14";"17";"19";"11";"12";"16";"17";"4"
"Ederson";"17";"5";"2";"11";"3";"14";"8";"9";"12";"2";"1";"18";"12";"3";"17";"12";"17";"18";"20";"16";"17";"15";"16";"2";"7";"15";"13";"14";"13";"14";"13";"13";"13";"15";"13";"14";"13";"16";"5"
"Rodri";"18";"7";"8";"13";"9";"15";"8";"13";"14";"8";"12";"15";"8";"17";"14";"13";"18";"15";"17";"16";"14";"18";"13";"9";"11";"13";"17";"16";"16";"14";"13";"12";"17";"16";"13";"17";"16";"17";"10"
"Vinícius Júnior";"19";"7";"13";"18";"16";"13";"8";"11";"12";"4";"3";"14";"12";"6";"15";"15";"14";"15";"15";"13";"14";"15";"18";"16";"12";"16";"9";"13";"15";"19";"16";"14";"8";"15";"17";"14";"12";"13";"8"
"Marc-André ter Stegen";"20";"6";"3";"3";"3";"13";"9";"7";"1";"3";"3";"17";"4";"2";"14";"11";"17";"15";"18";"15";"9";"13";"18";"5";"14";"1";"12";"14";"10";"14";"14";"16";"16";"15";"11";"13";"15";"15";"6"
"Rúben Dias";"21";"4";"11";"12";"6";"13";"5";"15";"4";"5";"17";"14";"8";"18";"13";"16";"17";"18";"15";"16";"13";"15";"18";"8";"17";"8";"17";"16";"17";"13";"13";"12";"16";"18";"13";"18";"16";"18";"13"
"Heung-Min Son";"22";"14";"14";"16";"18";"13";"13";"8";"16";"6";"5";"13";"9";"6";"17";"8";"15";"6";"17";"11";"12";"14";"14";"13";"13";"18";"7";"14";"17";"16";"14";"12";"10";"16";"16";"16";"10";"16";"5"
"Sadio Mané";"23";"11";"12";"16";"15";"16";"8";"14";"12";"3";"8";"14";"13";"10";"17";"14";"17";"15";"15";"12";"14";"14";"17";"16";"13";"18";"9";"16";"17";"15";"16";"16";"12";"17";"15";"14";"11";"12";"9"
"Jan Oblak";"24";"5";"3";"1";"3";"12";"9";"1";"1";"1";"1";"14";"12";"2";"11";"8";"11";"13";"17";"16";"8";"16";"15";"15";"11";"3";"16";"13";"13";"11";"13";"13";"13";"9";"13";"13";"13";"16";"9"
"Thomas Müller";"25";"11";"17";"11";"13";"13";"7";"14";"10";"8";"9";"16";"13";"11";"13";"17";"20";"13";"16";"16";"18";"16";"18";"13";"17";"20";"11";"20";"17";"12";"12";"13";"13";"20";"14";"19";"11";"16";"9"
"Federico Valverde";"26";"13";"13";"12";"11";"14";"12";"12";"15";"10";"13";"15";"12";"13";"13";"12";"14";"15";"12";"14";"14";"14";"15";"14";"13";"15";"12";"17";"17";"17";"15";"15";"12";"17";"17";"17";"14";"15";"8"
"Thiago";"27";"13";"14";"17";"9";"18";"12";"10";"12";"5";"12";"18";"12";"15";"18";"14";"16";"12";"17";"14";"18";"15";"15";"18";"11";"15";"13";"15";"15";"14";"17";"15";"10";"12";"11";"14";"9";"14";"8"
"Aymeric Laporte";"28";"8";"11";"13";"8";"15";"10";"16";"11";"8";"16";"16";"11";"15";"15";"13";"16";"15";"16";"15";"16";"16";"14";"12";"13";"14";"16";"13";"14";"14";"13";"12";"16";"15";"14";"15";"14";"15";"8"
"Thiago Silva";"29";"4";"5";"9";"7";"14";"8";"17";"7";"7";"17";"13";"14";"16";"13";"17";"17";"15";"20";"17";"13";"17";"15";"8";"19";"8";"19";"15";"14";"10";"12";"16";"13";"14";"10";"14";"14";"15";"7"
"Raheem Sterling";"30";"8";"13";"15";"13";"13";"10";"12";"12";"5";"7";"13";"8";"8";"13";"12";"18";"11";"12";"13";"13";"13";"13";"14";"12";"20";"9";"14";"15";"18";"18";"14";"8";"20";"17";"18";"12";"14";"4"
"N'Golo Kanté";"31";"6";"12";"11";"10";"14";"8";"10";"10";"6";"12";"15";"9";"19";"14";"15";"20";"15";"14";"16";"14";"16";"19";"13";"5";"15";"15";"20";"20";"14";"13";"15";"7";"18";"14";"18";"11";"19";"5"
"João Cancelo";"32";"12";"16";"16";"11";"15";"12";"10";"12";"12";"9";"16";"11";"13";"17";"12";"14";"12";"12";"12";"16";"15";"13";"17";"7";"14";"13";"13";"14";"16";"16";"14";"11";"15";"16";"14";"12";"14";"13"
"Kai Havertz";"33";"11";"12";"14";"16";"18";"11";"13";"11";"8";"7";"14";"12";"10";"17";"11";"15";"11";"17";"10";"17";"16";"10";"15";"7";"17";"10";"15";"13";"13";"13";"13";"14";"16";"17";"15";"13";"13";"6"
"Jack Grealish";"34";"13";"16";"17";"14";"15";"11";"11";"13";"3";"6";"14";"12";"9";"16";"11";"13";"14";"14";"11";"16";"13";"14";"16";"12";"13";"11";"14";"15";"15";"15";"14";"7";"15";"15";"14";"14";"14";"13"
"Antonio Rüdiger";"35";"5";"10";"10";"7";"10";"9";"15";"8";"14";"15";"12";"7";"17";"11";"18";"15";"18";"13";"14";"10";"17";"17";"9";"18";"8";"14";"13";"15";"17";"9";"17";"15";"15";"16";"16";"18";"16";"14"
"Toni Kroos";"36";"19";"18";"14";"13";"18";"14";"7";"17";"8";"8";"20";"13";"9";"16";"9";"17";"9";"18";"14";"18";"17";"10";"11";"12";"15";"14";"16";"11";"11";"10";"12";"10";"12";"12";"12";"14";"13";"10"
"Luis Díaz";"37";"9";"12";"18";"15";"18";"10";"13";"13";"4";"7";"14";"5";"8";"18";"13";"13";"13";"14";"13";"14";"13";"15";"19";"4";"15";"9";"13";"14";"17";"17";"14";"10";"15";"16";"13";"10";"15";"11"
"Bruno Fernandes";"38";"16";"16";"11";"15";"17";"16";"10";"16";"4";"3";"17";"19";"8";"17";"18";"16";"17";"15";"14";"18";"10";"17";"17";"17";"17";"6";"15";"15";"13";"15";"13";"9";"18";"14";"19";"10";"12";"13"
"Mason Mount";"39";"14";"12";"11";"14";"15";"14";"9";"12";"5";"7";"15";"15";"11";"15";"14";"14";"15";"15";"12";"12";"16";"18";"13";"12";"17";"14";"18";"20";"15";"13";"10";"9";"15";"15";"20";"11";"12";"6"
"Leroy Sané";"40";"14";"14";"18";"14";"15";"16";"7";"17";"3";"7";"14";"11";"8";"17";"13";"15";"10";"14";"12";"15";"14";"11";"16";"4";"15";"8";"11";"9";"17";"16";"14";"10";"15";"18";"13";"11";"12";"4"
"İlkay Gündogan";"41";"10";"11";"14";"13";"17";"14";"7";"12";"6";"10";"16";"14";"13";"16";"15";"17";"13";"16";"14";"16";"14";"13";"13";"10";"16";"12";"16";"15";"14";"16";"14";"10";"13";"13";"16";"13";"17";"8"
"Édouard Mendy";"42";"2";"1";"1";"3";"11";"5";"8";"1";"3";"2";"14";"4";"1";"11";"10";"14";"12";"13";"16";"8";"16";"12";"8";"10";"3";"16";"13";"10";"12";"15";"14";"17";"15";"11";"14";"15";"15";"7"
"Yannick Carrasco";"43";"14";"13";"17";"13";"14";"15";"8";"13";"6";"4";"14";"15";"4";"17";"11";"12";"10";"14";"12";"15";"13";"15";"16";"9";"16";"7";"10";"12";"16";"14";"14";"10";"12";"17";"13";"11";"12";"10"
