"Name(ocultar)";"Futbolista_ID";"Nombre";"Apellidos";"Edad";"Posicion";"Nacionalidad 1";"Nacionalidad 2";"Nacionalidad 3";"Fecha de nacimiento";"Equipo";"Sueldo (Semanal)";"Sueldo (mensual)";"Sueldo (Anual)";"Club de Cesion (Solo Jugador cedido)";"Apariciones con la selección nacional";"Goles con la selección nacional"
"Kevin De Bruyne";"1";"Kevin";"De Bruyne";"31";"CENTROCAMPISTA";"Belgium";;;"28/06/1991";"Manchester City";"394372";"1577488";"18929856";;"91";"24"
"Kylian Mbappé";"2";"Kylian";"Mbappé";"23";"EXTREMO";"France";;;"20/12/1998";"Paris Saint-Germain";"1035616";"4142464";"49709568";;"57";"27"
"Robert Lewandowski";"3";"Robert";"Lewandowski";"33";"DELANTERO";"Poland";;;"21/08/1988";"Barcelona";"345204";"1380816";"16569792";;"132";"76"
"Erling Haaland";"4";"Erling";"Haaland";"22";"DELANTERO";"Norway";"England";;"21/07/2000";"Manchester City";"394372";"1577488";"18929856";;"21";"20"
"Mohamed Salah";"5";"Mohamed";"Salah";"30";"EXTREMO";"Egypt";;;"15/06/1992";"Liverpool";"405971";"1623884";"19486608";;"85";"47"
"Karim Benzema";"6";"Karim";"Benzema";"34";"DELANTERO";"France";"Algeria";;"19/12/1987";"R. Madrid";"321918";"1287672";"15452064";;"97";"37"
"Harry Kane";"7";"Harry";"Kane";"28";"DELANTERO";"England";"Republic of Ireland";;"28/07/1993";"Tottenham Hotspur";"231983";"927932";"11135184";;"73";"50"
"Thibaut Courtois";"8";"Thibaut";"Courtois";"30";"PORTERO";"Belgium";;;"11/05/1992";"R. Madrid";"296047";"1184188";"14210256";;"94";"0"
"Virgil van Dijk";"9";"Virgil";"van Dijk";"31";"DEFENSA CENTRO";"Holland";"Suriname";;"08/07/1991";"Liverpool";"278380";"1113520";"13362240";;"47";"5"
"Lionel Messi";"10";"Lionel";"Messi";"35";"DELANTERO";"Argentina";"Spain";;"24/06/1987";"Paris Saint-Germain";"776712";"3106848";"37282176";;"162";"86"
"Luka Modrić";"11";"Luka";"Modrić";"36";"CENTROCAMPISTA";"Croatia";;;"09/09/1985";"R. Madrid";"321918";"1287672";"15452064";;"152";"22"
"Joshua Kimmich";"12";"Joshua";"Kimmich";"27";"MEDIOCENTRO DEFENSIVO";"Germany";;;"08/02/1995";"FC Bayern München";"345204";"1380816";"16569792";;"68";"5"
"Neymar";"13";"Neymar";"";"30";"EXTREMO";"Brazil";;;"05/02/1992";"Paris Saint-Germain";"939648";"3758592";"45103104";;"119";"74"
"Alisson";"14";"Alisson";"";"29";"PORTERO";"Brazil";;;"02/10/1992";"Liverpool";"220384";"881536";"10578432";;"55";"0"
"Bernardo Silva";"15";"Bernardo";"Silva";"27";"EXTREMO";"Portugal";;;"10/08/1994";"Manchester City";"208785";"835140";"10021680";;"70";"8"
"Manuel Neuer";"16";"Manuel";"Neuer";"36";"PORTERO";"Germany";;;"27/03/1986";"FC Bayern München";"345204";"1380816";"16569792";;"112";"0"
