"Name(ocultar)";"Futbolista_ID";"Habilidad Actual (200)";"Habilidad Potencial (200)"
"Kevin De Bruyne";"1";"189";"189"
"Kylian Mbappé";"2";"188";"197"
"Robert Lewandowski";"3";"186";"190"
"Erling Haaland";"4";"185";"195"
"Mohamed Salah";"5";"185";"187"
"Karim Benzema";"6";"185";"185"
"Harry Kane";"7";"183";"185"
"Thibaut Courtois";"8";"181";"181"
"Virgil van Dijk";"9";"181";"183"
"Lionel Messi";"10";"180";"200"
"Luka Modrić";"11";"179";"180"
"Joshua Kimmich";"12";"178";"183"
"Neymar";"13";"177";"190"
"Alisson";"14";"177";"180"
"Bernardo Silva";"15";"176";"180"
"Manuel Neuer";"16";"175";"193"
"Ederson";"17";"175";"180"
"Rodri";"18";"175";"175"
"Vinícius Júnior";"19";"174";"184"
"Marc-André ter Stegen";"20";"174";"183"
"Rúben Dias";"21";"174";"177"
"Heung-Min Son";"22";"173";"173"
"Sadio Mané";"23";"172";"184"
"Jan Oblak";"24";"172";"178"
"Thomas Müller";"25";"171";"174"
"Federico Valverde";"26";"169";"175"
"Thiago";"27";"169";"173"
"Aymeric Laporte";"28";"168";"173"
"Thiago Silva";"29";"168";"174"
"Raheem Sterling";"30";"168";"180"
"N'Golo Kanté";"31";"167";"170"
"João Cancelo";"32";"167";"167"
"Kai Havertz";"33";"167";"180"
"Jack Grealish";"34";"166";"175"
"Antonio Rüdiger";"35";"166";"166"
"Toni Kroos";"36";"166";"176"
"Luis Díaz";"37";"166";"172"
"Bruno Fernandes";"38";"166";"174"
"Mason Mount";"39";"165";"170"
"Leroy Sané";"40";"165";"175"
"İlkay Gündogan";"41";"165";"167"
"Édouard Mendy";"42";"165";"167"
"Yannick Carrasco";"43";"164";"167"
"Reece James";"44";"164";"170"
"David Alaba";"45";"164";"174"
"Mateo Kovačić";"46";"164";"172"
"Kyle Walker";"47";"164";"164"
"Marco Verratti";"48";"164";"165"
"Leon Goretzka";"49";"164";"170"
"Jorginho";"50";"164";"165"
"Marquinhos";"51";"164";"165"
"Phil Foden";"52";"163";"180"
"Frenkie de Jong";"53";"163";"183"
"Rafael Leão";"54";"163";"176"
"Gabriel Jesus";"55";"162";"175"
"Antoine Griezmann";"56";"162";"180"
"Romelu Lukaku";"57";"162";"176"
"Jules Koundé";"58";"162";"175"
"Declan Rice";"59";"162";"178"
"Kingsley Coman";"60";"162";"165"
"Sergej Milinković-Savić";"61";"162";"167"
"Ousmane Dembélé";"62";"162";"176"
"Gianluigi Donnarumma";"63";"162";"178"
"Casemiro";"64";"161";"170"
"Mike Maignan";"65";"161";"166"
"Milan Škriniar";"66";"161";"168"
"Sergio Ramos";"67";"161";"174"
"Lautaro Martínez";"68";"161";"170"
"Christian Eriksen";"69";"161";"170"
"Bukayo Saka";"70";"161";"177"
"John Stones";"71";"161";"170"
"Fabinho";"72";"161";"168"
"Nicolò Barella";"73";"160";"171"
"Achraf Hakimi";"74";"160";"172"
"Raphaël Varane";"75";"160";"172"
"Riyad Mahrez";"76";"160";"163"
"Ángel Di María";"77";"160";"174"
"Ciro Immobile";"78";"160";"165"
"Kalidou Koulibaly";"79";"160";"168"
"Trent Alexander-Arnold";"80";"160";"174"
"Paul Pogba";"81";"160";"176"
"Ronald Araujo";"82";"160";"174"
"Serge Gnabry";"83";"160";"170"
"Paulo Dybala";"84";"160";"177"
"Éder Militão";"85";"160";"168"
"Alphonso Davies";"86";"160";"172"
"Martin Ødegaard";"87";"160";"178"
"Marcelo Brozović";"88";"160";"162"
"Pedri";"89";"159";"176"
"Aurélien Tchouameni";"90";"159";"180"
"João Félix";"91";"159";"177"
"Theo Hernández";"92";"159";"167"
"José Gayà";"93";"159";"160"
"José Giménez";"94";"159";"166"
"Presnel Kimpembe";"95";"159";"164"
"Marco Reus";"96";"159";"170"
"Andrew Robertson";"97";"159";"165"
"Mikel Oyarzábal";"98";"158";"167"
"Yves Bissouma";"99";"158";"165"
"Matthijs de Ligt";"100";"158";"176"
"Cristiano Ronaldo";"101";"158";"196"
